"date","open","high","low","close","volume","turnover","return"
"2016/2/3",2049.324,2105.38,2034.602,2090.513,120898.46,2706787.61,0.00731003303185851
"2016/2/4",2095.617,2142.869,2095.617,2126.636,131430.08,3022999.75,0.0171318981187865
"2016/2/5",2127.347,2141.556,2096.986,2096.986,90647.03,2109733.36,-0.0140403128285271
"2016/2/15",2029.556,2130.362,2029.556,2116.838,101006.68,2260240.21,0.00942239014912527
"2016/2/16",2128.056,2208.572,2128.056,2201.925,139121.71,3352717.16,0.0394085119324101
"2016/2/17",2197.925,2219.783,2170.998,2215.341,146184.97,3389202.64,0.00607436421163143
"2016/2/18",2230.799,2239.91,2188.187,2190.911,140195.01,3281792.38,-0.0110889029194086
"2016/2/19",2186.015,2230.216,2182.959,2211.006,134072.42,3184008.89,0.00913017650867953
"2016/2/22",2235.17,2245.564,2216.156,2245.564,150906.15,3711842.4,0.0155090990110027
"2016/2/23",2245.75,2249.691,2189.527,2218.119,139266.1,3450875.71,-0.0122971751591905
"2016/2/24",2212.589,2230.006,2154.274,2203.741,128840.22,3158651.23,-0.00650316865385836
"2016/2/25",2198.928,2198.928,2030.42,2037.143,152989.55,3541009.22,-0.0786080347167255
"2016/2/26",2045.51,2057.802,1980.166,2014.92,123666.93,2739304.69,-0.0109688436798203
"2016/2/29",2000.572,2000.572,1866.25,1880.146,132475.68,2744248.4,-0.069230058976264
"2016/3/1",1881.321,1952.432,1841.224,1934.919,134566.61,2813004.52,0.0287160317394779
"2016/3/2",1930.842,2022.863,1925.023,2017.604,169491.55,3398625.88,0.0418452036396264
"2016/3/3",2014.179,2063.531,2006.707,2007.076,168054.74,3510912.31,-0.00523173221895856
"2016/3/4",1994.061,2003.689,1895.396,1907.041,152209.75,3018036.63,-0.0511261104361491
"2016/3/7",1935.093,1995.937,1935.093,1953.332,116231.61,2358693.66,0.0239838062017483
"2016/3/8",1944.648,2002.191,1865.65,2002.191,156274.22,3077718.39,0.0247054486109821
"2016/3/9",1962.277,2015.706,1947.045,1970.813,133036.72,2622807.62,-0.0157959329657205
"2016/3/10",1968.766,1991.357,1935.119,1936.968,105080.18,2231449.78,-0.0173222840759477
"2016/3/11",1911.325,1948.601,1903.924,1934.87,84876.56,1713041.67,-0.00108372313373373
"2016/3/14",1962.105,2048.497,1962.105,2023.128,161344.05,3458958.87,0.044604687789465
"2016/3/15",2016.807,2034.702,1995.456,1996.92,121670.6,2553888.43,-0.0130388350106516
"2016/3/16",2029.919,2039.486,1961.418,1977.538,122204.55,2567750.07,-0.00975335688402446
"2016/3/17",1986.144,2089.136,1986.144,2087.293,210741.39,4645258.03,0.0540153744922911
"2016/3/18",2102.19,2194.355,2102.079,2177.87,255968.39,5907898.72,0.0424793237930388
"2016/3/21",2214.913,2234.35,2191.662,2227.034,255409.98,6230530.84,0.0223233203918394
"2016/3/22",2201.194,2248.186,2189.935,2221.702,210600.07,4873506.9,-0.00239708652217097
"2016/3/23",2214.87,2259.106,2205.072,2259.106,190527.94,4790663.87,0.0166955909903486
"2016/3/24",2234.215,2277.917,2217.843,2219.77,214009.29,5521126.76,-0.0175655728890778
"2016/3/25",2209.26,2232.073,2183.601,2216.086,151540.09,3717962.94,-0.00166101011709952
"2016/3/28",2233.131,2259.131,2192.35,2199.685,162604.72,4055682.96,-0.00742840850166804
"2016/3/29",2190.875,2194.885,2130.851,2152.548,141705.16,3628691.91,-0.0216619115719094
"2016/3/30",2172.741,2248.783,2172.741,2248.783,174059.75,4593802.68,0.0437369242715926
"2016/3/31",2256.431,2271.964,2232.302,2238.286,181249.76,4835736.66,-0.00467878659730214
"2016/4/1",2223.377,2226.998,2171.341,2205.369,157012.46,4096481.08,-0.014815552560326
"2016/4/5",2207.464,2285.201,2205.438,2279.52,197649.38,5101339.58,0.0330700526501362
"2016/4/6",2274.772,2305.409,2271.502,2297.041,209120.36,5386728.7,0.00765687842962048
"2016/4/7",2310.923,2316.629,2248.684,2248.684,203023.45,5206224.88,-0.0212766167031964
